"","X2536.KZ.1.FS.count","X2536.KZ.10.FS.count","X2536.KZ.14.FS.count","X2536.KZ.16.FS.count"
"ZNF467",3.05778813137927,1.65189488406731,2.47052845017309,1.84710164867135
"ZNF468",4.3322191568107,4.13766282115869,3.94566951060847,3.22593181445536
"ZNF469",5.20223675806708,4.42296428276404,4.02781303930586,7.063466605531
"ZNF470",4.40015336430534,2.71705405108371,3.93961919318404,2.30821701525814
"ZNF471",3.29038675006405,4.62501600958233,2.59892421650082,2.25801794610761
"ZNF473",4.85219581303826,5.33383220621622,4.42859315091708,4.9636894314104
"ZNF474",-0.709970034578899,-0.630707005779911,0.627049036753395,2.6178340026857
"ZNF48",3.64172090173627,3.66229135562282,2.38406171372734,3.36285978109329
"ZNF480",5.74258685170747,4.33646690979517,4.874669231837,5.74994201424421
"ZNF483",3.88241201320639,3.56420169371067,6.09216108262816,5.24714344376914
"ZNF484",5.32188294677576,4.97678923171524,5.37814871226171,4.64027744822663
"ZNF485",1.90332520823241,2.58571972857307,1.90183808498562,1.21878802273214
"ZNF486",1.19153050381321,1.20805564432765,2.92713510257072,1.27034640103147
"ZNF487",3.11281387759032,3.2381718702251,3.41970891832446,2.12430170676102
"ZNF488",2.04209498234272,3.28511393964797,4.28804066667604,2.69532862077518
"ZNF490",2.56046025156745,3.32309830694561,3.7590063886024,3.25181398524736
"ZNF491",0.662232284549689,0.563705079953651,1.68751342001371,0.481288849189269
"ZNF492",-1.15371371480717,-1.37408543620625,0.686063609168726,0.294691686302861
"ZNF493",6.00020027365301,6.10505535294494,5.12978066809893,4.31157862736781
"ZNF496",5.70428284660195,6.17734246761594,5.76782745571602,6.70323937684503
"ZNF497",2.92059338347302,2.87881865472839,1.04284189092077,1.74145214204117
"ZNF500",4.68675443393509,4.69910517364231,4.37130956776767,3.90977960832156
"ZNF501",2.83591029974041,2.08226799568178,0.686063609168726,1.91346741022306
"ZNF502",3.53831801866622,1.69887905412763,2.13150360119593,0.722502194885205
"ZNF503",5.42150549838657,5.47548765239521,3.11065451498237,3.44368168887447
"ZNF503-AS1",1.1570396626385,3.12230850782814,-1.15791693003156,1.62745016938125
"ZNF503-AS2",3.29038675006405,2.35584427894305,0.565517085641543,1.91346741022306
"ZNF506",5.2923922350316,4.99337436570912,6.82969939800294,5.13688004070806
