"","HPV+1","HPV+10","HPV+11","HPV+12","HPV+13","HPV+14","HPV+15","HPV+16","HPV+17","HPV+18","HPV+2","HPV+3","HPV+4","HPV+5","HPV+6","HPV+7","HPV+8","HPV+9"
"COBRA1",6.43519426250329,6.47230957365814,6.22163658324421,6.11429882523416,6.38910639355101,5.83708908274986,6.04112042888758,5.84501940223268,6.79602151869416,5.94407319053858,6.6205346641163,6.61746624541892,6.37661752817999,6.71398941667808,6.33235497686887,6.25625686297188,6.74606457852144,5.95357272695128
"COCH",0.181239467254357,2.86926625772552,4.02810970881995,1.64330692591496,3.41337760169525,3.09323598843571,1.43716801512412,-0.466079353933089,1.61889537275839,1.79284556524118,-0.459674406453241,-1.65388213411412,3.36892962494276,4.23262851216492,3.20167682240854,2.21560629977701,-2.46725138694169,-1.25608363380366
"COG1",4.78036146187883,4.17785922748039,4.60419982737193,4.22871965902049,4.40559998787259,5.12705271052623,4.17391135370496,4.27491569373863,3.89207494478589,3.9144460633403,4.25005189296291,4.36898458163648,4.59634735632247,4.7573664739534,4.22908413877973,4.92263923588745,3.80338211617897,4.74333065332102
"COG2",4.64458385559041,4.84485863763815,4.89606283377088,5.02942517067498,5.14568144847933,4.89434172717323,5.37447724649658,4.33936116004979,4.49232842095991,5.26379886269705,5.00111112521586,4.40225920100519,4.66597851991522,5.12356337306625,4.76719804178099,4.79532892081468,4.38763505400841,4.98266963415472
"COG3",4.54695487554379,4.04941327672014,5.07180785150821,5.09376284004179,4.91120006744898,4.64039412899009,5.61483877429134,5.48796979032337,5.12729556417624,4.48807905012424,4.04447023450768,3.94711425090349,4.37905873610253,4.58121095266206,4.35396090149684,4.64211879456496,5.01207492377382,5.34410562516739
"COG4",5.7603199616046,6.10482349281031,6.08301561668853,5.42441255466321,5.24951343392211,6.91871150867785,6.18585449558048,5.9932981980932,6.1397975795692,6.19915132742094,6.74565206391629,5.32120276482221,5.7683610816469,6.9316777610916,6.37395371296955,5.43762946168252,6.48792297690839,6.38645269331542
"COG5",5.02466807805075,5.4053800942583,5.03247853721193,5.42724200116419,5.12910809125309,4.5293306443458,4.70995208074357,5.24888406306165,5.05799757693,5.22348404825165,4.89064859436919,4.65322343026493,4.80869971949536,4.35334553569471,4.69302063273248,5.17499881437191,5.15030865785185,4.46794900886738
"COG6",4.22761618907457,5.37622233259292,4.60419982737193,4.44145435051405,4.58482237538382,4.20200413772763,5.26699991987975,5.24648540831713,4.95128442322111,4.0916731566289,3.63765173903482,3.91980042226095,4.2845130892331,3.64833648901916,3.53076385150073,5.01125230652548,3.84419495041211,4.92675675676281
"COG7",4.84777905278683,4.44111192894263,4.62922877556924,4.04444007236858,5.03260536333724,4.49369587631691,4.55795199303686,4.57745029013297,4.71447172946422,4.35086072041155,4.38080489678318,4.83316960963774,4.0351366442391,4.79375387919218,4.34518120346772,5.53837644769846,5.67290810611497,4.38031650856805
"COG8",3.53241068409631,3.66710868446888,3.30795199514127,3.40586082559775,2.86490700190178,3.68744977435146,3.19305836851615,3.69807493538017,3.17942034739587,3.67236755526757,3.8718671076936,2.6836048060143,3.04767893385897,4.05289754814956,3.62565745255303,3.38437047802155,3.23183976601352,3.84358552114449
"COIL",5.18434888985479,5.22385825224125,4.96526829489325,4.61858506679529,5.66499807503456,5.31600752461308,5.33953361802111,4.97524640029247,5.27171004379993,5.39803341851845,5.08730880683336,5.12256171718388,5.09125211524989,5.40364875896278,4.77157338390972,4.88856971947026,4.55433087556339,5.56670929431425
"COL10A1",6.35044797462394,-0.138244714953764,1.40113944365906,3.77508123988652,4.94062425887973,2.44537971053915,-0.661508841035606,4.22705440614648,1.58712126998124,-1.09581851515154,-0.908453409533402,1.56235411869699,3.49567412692634,1.2583539336451,0.0747697271619947,2.12932047067799,0.62562384974184,3.84358552114449
"COL11A1",5.80184914320263,-2.2187240138089,1.27993518439075,-1.32958297069171,5.7512768986101,1.40722317665874,-0.731842176851355,3.2629095080936,1.63452379596786,0.302682501055863,-1.15378670946453,1.16751822140931,1.74863901220472,-0.255243772336781,-2.80221903945545,1.93952985937047,2.56301797469223,3.90151548464631
"COL11A2",1.901638718628,1.04610345509432,1.23172304961397,0.632342011267135,2.18121935810054,0.949437112607696,1.13520036364072,0.0994414221564766,-1.1137620891081,-1.09581851515154,1.06206050669852,2.58658645294232,3.21081481080324,2.02720324583945,2.42066834109344,1.49804916914932,1.10015615837265,2.89253035053514
"COL12A1",8.08879689127536,4.85642225131604,4.6840050629399,6.12363231616084,7.39529906285779,3.85184278147985,4.95350490987028,8.27729605370106,4.7126322917142,4.93784725007363,3.74911596378126,4.12241150420944,5.85109793644833,3.65823818408286,2.47533622389156,5.27634607497951,5.59374169872716,8.46559460436335
